Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Timsort,5000,Casi_Ordenado,3,0.1370,47723,92874,SI
Insertion,5000,Duplicados,1,3.6880,4961106,4966107,SI
Merge,5000,Duplicados,1,0.3470,51624,123616,SI
Radix,5000,Duplicados,1,0.0370,NA,10000,SI
Timsort,5000,Duplicados,1,0.1540,70001,116692,SI
Insertion,5000,Duplicados,2,4.1300,5045972,5050971,SI
Merge,5000,Duplicados,2,0.3830,51569,123616,SI
Radix,5000,Duplicados,2,0.0300,NA,10000,SI
Timsort,5000,Duplicados,2,0.1540,70263,117031,SI
Insertion,5000,Duplicados,3,3.3810,5133743,5138745,SI
Merge,5000,Duplicados,3,0.3500,51528,123616,SI
Radix,5000,Duplicados,3,0.0300,NA,10000,SI
Timsort,5000,Duplicados,3,0.1490,70474,117259,SI
Insertion,7500,Uniforme,1,11.1660,14141448,14148951,SI
Merge,7500,Uniforme,1,1.3670,87075,193616,SI
Radix,7500,Uniforme,1,0.2910,NA,75000,SI
Timsort,7500,Uniforme,1,0.7370,124065,192098,SI
Insertion,7500,Uniforme,2,13.4090,14026310,14033823,SI
Merge,7500,Uniforme,2,0.9640,87232,193616,SI
Radix,7500,Uniforme,2,0.2080,NA,75000,SI
Timsort,7500,Uniforme,2,0.5650,123842,191837,SI
Insertion,7500,Uniforme,3,11.7060,13868604,13876114,SI
Merge,7500,Uniforme,3,0.9990,87181,193616,SI
Radix,7500,Uniforme,3,0.2780,NA,75000,SI
Timsort,7500,Uniforme,3,0.6320,124294,192280,SI
Insertion,7500,Ordenado,1,0.0130,7499,14998,SI
Merge,7500,Ordenado,1,0.3430,49432,193616,SI
Radix,7500,Ordenado,1,0.2000,NA,60000,SI
Timsort,7500,Ordenado,1,0.0670,38209,133690,SI
Insertion,7500,Ordenado,2,0.0150,7499,14998,SI
Merge,7500,Ordenado,2,0.3740,49432,193616,SI
Radix,7500,Ordenado,2,0.2340,NA,60000,SI
Timsort,7500,Ordenado,2,0.0690,38209,133690,SI
Insertion,7500,Ordenado,3,0.0140,7499,14998,SI
Merge,7500,Ordenado,3,0.3870,49432,193616,SI
Radix,7500,Ordenado,3,0.2210,NA,60000,SI
Timsort,7500,Ordenado,3,0.0860,38209,133690,SI
Insertion,7500,Reverso,1,27.8530,28121250,28136248,SI
Merge,7500,Reverso,1,0.3550,47376,193616,SI
Radix,7500,Reverso,1,0.1910,NA,60000,SI
Timsort,7500,Reverso,1,0.1690,144766,249820,SI
Insertion,7500,Reverso,2,22.6100,28121250,28136248,SI
Merge,7500,Reverso,2,0.3760,47376,193616,SI
Radix,7500,Reverso,2,0.2250,NA,60000,SI
Timsort,7500,Reverso,2,0.1980,144766,249820,SI
Insertion,7500,Reverso,3,29.8200,28121250,28136248,SI
Merge,7500,Reverso,3,0.4720,47376,193616,SI
Radix,7500,Reverso,3,0.2520,NA,60000,SI
Timsort,7500,Reverso,3,0.2360,144766,249820,SI
Insertion,7500,Casi_Ordenado,1,2.0720,1819708,1827207,SI
Merge,7500,Casi_Ordenado,1,0.7210,79446,193616,SI
Radix,7500,Casi_Ordenado,1,0.2570,NA,60000,SI
Timsort,7500,Casi_Ordenado,1,0.2790,74097,144156,SI
Insertion,7500,Casi_Ordenado,2,2.4510,1781214,1788713,SI
Merge,7500,Casi_Ordenado,2,0.8650,79936,193616,SI
Radix,7500,Casi_Ordenado,2,0.7390,NA,60000,SI
Timsort,7500,Casi_Ordenado,2,0.8580,75593,144492,SI
Insertion,7500,Casi_Ordenado,3,2.1100,1684926,1692425,SI
Merge,7500,Casi_Ordenado,3,0.5970,80091,193616,SI
Radix,7500,Casi_Ordenado,3,0.2760,NA,60000,SI
Timsort,7500,Casi_Ordenado,3,0.2260,74943,144376,SI
Insertion,7500,Duplicados,1,13.4960,11290048,11297548,SI
Merge,7500,Duplicados,1,0.7680,81459,193616,SI
Radix,7500,Duplicados,1,0.0820,NA,15000,SI
Timsort,7500,Duplicados,1,0.3320,107107,179593,SI
Insertion,7500,Duplicados,2,8.7660,11267169,11274670,SI
Merge,7500,Duplicados,2,0.5230,81247,193616,SI
Radix,7500,Duplicados,2,0.0580,NA,15000,SI
Timsort,7500,Duplicados,2,0.3040,106979,179832,SI
Insertion,7500,Duplicados,3,7.9330,11473512,11481012,SI
Merge,7500,Duplicados,3,0.5030,81356,193616,SI
Radix,7500,Duplicados,3,0.0800,NA,15000,SI
Timsort,7500,Duplicados,3,0.2470,107206,179871,SI
