Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Merge,200,Casi_Ordenado,1,0.0220,1108,3088,SI
Radix,200,Casi_Ordenado,1,0.0070,NA,1200,SI
Timsort,200,Casi_Ordenado,1,0.0060,1026,1865,SI
Insertion,200,Casi_Ordenado,2,0.0040,1633,1832,SI
Merge,200,Casi_Ordenado,2,0.0210,1045,3088,SI
Radix,200,Casi_Ordenado,2,0.0070,NA,1200,SI
Timsort,200,Casi_Ordenado,2,0.0060,1015,1863,SI
Insertion,200,Casi_Ordenado,3,0.0050,1763,1962,SI
Merge,200,Casi_Ordenado,3,0.0200,1178,3088,SI
Radix,200,Casi_Ordenado,3,0.0070,NA,1200,SI
Timsort,200,Casi_Ordenado,3,0.0080,1056,1887,SI
Insertion,200,Duplicados,1,0.0170,8575,8776,SI
Merge,200,Duplicados,1,0.0310,1222,3088,SI
Radix,200,Duplicados,1,0.0030,NA,400,SI
Timsort,200,Duplicados,1,0.0130,1932,2790,SI
Insertion,200,Duplicados,2,0.0160,7071,7273,SI
Merge,200,Duplicados,2,0.0580,1216,3088,SI
Radix,200,Duplicados,2,0.0150,NA,400,SI
Timsort,200,Duplicados,2,0.0080,1947,2798,SI
Insertion,200,Duplicados,3,0.0130,9028,9228,SI
Merge,200,Duplicados,3,0.0200,1227,3088,SI
Radix,200,Duplicados,3,0.0020,NA,400,SI
Timsort,200,Duplicados,3,0.0080,1961,2828,SI
Insertion,300,Uniforme,1,0.0250,21721,22024,SI
Merge,300,Uniforme,1,0.0450,2109,4976,SI
Radix,300,Uniforme,1,0.0110,NA,3000,SI
Timsort,300,Uniforme,1,0.0160,3566,5013,SI
Insertion,300,Uniforme,2,0.0230,20662,20965,SI
Merge,300,Uniforme,2,0.0320,2096,4976,SI
Radix,300,Uniforme,2,0.0560,NA,3000,SI
Timsort,300,Uniforme,2,0.0170,3684,5150,SI
Insertion,300,Uniforme,3,0.0250,22240,22544,SI
Merge,300,Uniforme,3,0.0390,2079,4976,SI
Radix,300,Uniforme,3,0.0100,NA,3000,SI
Timsort,300,Uniforme,3,0.0160,3629,5083,SI
Insertion,300,Ordenado,1,0.0010,299,598,SI
Merge,300,Ordenado,1,0.0150,1308,4976,SI
Radix,300,Ordenado,1,0.0070,NA,1800,SI
Timsort,300,Ordenado,1,0.0020,962,2804,SI
Insertion,300,Ordenado,2,0.0010,299,598,SI
Merge,300,Ordenado,2,0.0140,1308,4976,SI
Radix,300,Ordenado,2,0.0070,NA,1800,SI
Timsort,300,Ordenado,2,0.0020,962,2804,SI
Insertion,300,Ordenado,3,0.0010,299,598,SI
Merge,300,Ordenado,3,0.0120,1308,4976,SI
Radix,300,Ordenado,3,0.0070,NA,1800,SI
Timsort,300,Ordenado,3,0.0030,962,2804,SI
Insertion,300,Reverso,1,0.0490,44850,45448,SI
Merge,300,Reverso,1,0.0220,1180,4976,SI
Radix,300,Reverso,1,0.0100,NA,1800,SI
Timsort,300,Reverso,1,0.0090,4970,7334,SI
Insertion,300,Reverso,2,0.0450,44850,45448,SI
Merge,300,Reverso,2,0.0130,1180,4976,SI
Radix,300,Reverso,2,0.0060,NA,1800,SI
Timsort,300,Reverso,2,0.0070,4970,7334,SI
Insertion,300,Reverso,3,0.0430,44850,45448,SI
Merge,300,Reverso,3,0.0130,1180,4976,SI
Radix,300,Reverso,3,0.0070,NA,1800,SI
Timsort,300,Reverso,3,0.0070,4970,7334,SI
Insertion,300,Casi_Ordenado,1,0.0050,3016,3315,SI
Merge,300,Casi_Ordenado,1,0.0190,1853,4976,SI
Radix,300,Casi_Ordenado,1,0.0060,NA,1800,SI
Timsort,300,Casi_Ordenado,1,0.0070,1720,3186,SI
Insertion,300,Casi_Ordenado,2,0.0060,3678,3977,SI
Merge,300,Casi_Ordenado,2,0.0170,1882,4976,SI
Radix,300,Casi_Ordenado,2,0.0060,NA,1800,SI
Timsort,300,Casi_Ordenado,2,0.0060,1771,3232,SI
Insertion,300,Casi_Ordenado,3,0.0030,1882,2181,SI
Merge,300,Casi_Ordenado,3,0.0170,1792,4976,SI
Radix,300,Casi_Ordenado,3,0.0070,NA,1800,SI
Timsort,300,Casi_Ordenado,3,0.0070,1678,3184,SI
Insertion,300,Duplicados,1,0.0270,17314,17613,SI
Merge,300,Duplicados,1,0.0280,1989,4976,SI
Radix,300,Duplicados,1,0.0020,NA,600,SI
Timsort,300,Duplicados,1,0.0110,3054,4556,SI
Insertion,300,Duplicados,2,0.0220,18678,18978,SI
Merge,300,Duplicados,2,0.0240,1980,4976,SI
Radix,300,Duplicados,2,0.0020,NA,600,SI
Timsort,300,Duplicados,2,0.0100,2883,4390,SI
Insertion,300,Duplicados,3,0.0210,18461,18761,SI
Merge,300,Duplicados,3,0.0240,2000,4976,SI
Radix,300,Duplicados,3,0.0030,NA,600,SI
Timsort,300,Duplicados,3,0.0100,3139,4639,SI
Insertion,400,Uniforme,1,0.0410,37971,38371,SI
Merge,400,Uniforme,1,0.0510,2932,6976,SI
Radix,400,Uniforme,1,0.0140,NA,4000,SI
Timsort,400,Uniforme,1,0.0240,5006,7025,SI
Insertion,400,Uniforme,2,0.0430,41990,42392,SI
Merge,400,Uniforme,2,0.0430,2950,6976,SI
Radix,400,Uniforme,2,0.0130,NA,4000,SI
Timsort,400,Uniforme,2,0.0210,5004,7037,SI
Insertion,400,Uniforme,3,0.0410,40090,40494,SI
Merge,400,Uniforme,3,0.0420,2927,6976,SI
Radix,400,Uniforme,3,0.0140,NA,4000,SI
Timsort,400,Uniforme,3,0.0240,4866,6883,SI
Insertion,400,Ordenado,1,0.0020,399,798,SI
Merge,400,Ordenado,1,0.0210,1824,6976,SI
Radix,400,Ordenado,1,0.0090,NA,2400,SI
Timsort,400,Ordenado,1,0.0030,1283,3910,SI
Insertion,400,Ordenado,2,0.0010,399,798,SI
Merge,400,Ordenado,2,0.0170,1824,6976,SI
Radix,400,Ordenado,2,0.0090,NA,2400,SI
Timsort,400,Ordenado,2,0.0030,1283,3910,SI
Insertion,400,Ordenado,3,0.0010,399,798,SI
Merge,400,Ordenado,3,0.0180,1824,6976,SI
Radix,400,Ordenado,3,0.0080,NA,2400,SI
Timsort,400,Ordenado,3,0.0040,1283,3910,SI
Insertion,400,Reverso,1,0.0730,79800,80598,SI
Merge,400,Reverso,1,0.0220,1664,6976,SI
Radix,400,Reverso,1,0.0080,NA,2400,SI
Timsort,400,Reverso,1,0.0120,6744,9982,SI
Insertion,400,Reverso,2,0.0740,79800,80598,SI
Merge,400,Reverso,2,0.0170,1664,6976,SI
Radix,400,Reverso,2,0.0080,NA,2400,SI
Timsort,400,Reverso,2,0.0090,6744,9982,SI
Insertion,400,Reverso,3,0.0890,79800,80598,SI
Merge,400,Reverso,3,0.0210,1664,6976,SI
Radix,400,Reverso,3,0.0090,NA,2400,SI
Timsort,400,Reverso,3,0.0100,6744,9982,SI
Insertion,400,Casi_Ordenado,1,0.0070,4913,5312,SI
Merge,400,Casi_Ordenado,1,0.0270,2509,6976,SI
Radix,400,Casi_Ordenado,1,0.0080,NA,2400,SI
Timsort,400,Casi_Ordenado,1,0.0090,2251,4417,SI
Insertion,400,Casi_Ordenado,2,0.0060,3178,3577,SI
Merge,400,Casi_Ordenado,2,0.0230,2513,6976,SI
Radix,400,Casi_Ordenado,2,0.0080,NA,2400,SI
Timsort,400,Casi_Ordenado,2,0.0080,2258,4420,SI
Insertion,400,Casi_Ordenado,3,0.0070,4855,5254,SI
Merge,400,Casi_Ordenado,3,0.0230,2656,6976,SI
Radix,400,Casi_Ordenado,3,0.0090,NA,2400,SI
Timsort,400,Casi_Ordenado,3,0.0070,2258,4336,SI
Insertion,400,Duplicados,1,0.0350,32364,32764,SI
Merge,400,Duplicados,1,0.0380,2819,6976,SI
Radix,400,Duplicados,1,0.0030,NA,800,SI
Timsort,400,Duplicados,1,0.0150,4182,6282,SI
Insertion,400,Duplicados,2,0.0360,30777,31176,SI
Merge,400,Duplicados,2,0.0380,2810,6976,SI
Radix,400,Duplicados,2,0.0050,NA,800,SI
Timsort,400,Duplicados,2,0.0160,4263,6376,SI
Insertion,400,Duplicados,3,0.0410,31662,32063,SI
Merge,400,Duplicados,3,0.0360,2833,6976,SI
Radix,400,Duplicados,3,0.0040,NA,800,SI
Timsort,400,Duplicados,3,0.0170,4195,6298,SI
Insertion,500,Uniforme,1,0.0840,66244,66747,SI
